City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Tiksi,RU,71.69,128.87,9.28,96,100,6.11,overcast clouds
129,Oksfjord,NO,70.24,22.35,41.0,64,0,18.34,clear sky
130,San Cristobal,VE,7.77,-72.22,67.66,92,99,1.61,moderate rain
131,Alenquer,BR,-1.94,-54.74,78.8,88,75,6.93,broken clouds
132,Micheweni,TZ,-4.97,39.83,76.6,81,1,8.97,clear sky
133,Dingle,PH,11.0,122.67,83.28,79,100,4.41,moderate rain
134,Riyadh,SA,24.69,46.72,60.8,38,0,4.18,clear sky
135,Clyde River,CA,70.47,-68.59,8.6,78,1,21.92,clear sky
136,Lebu,CL,-37.62,-73.65,52.07,87,56,3.36,broken clouds
137,Nosy Varika,MG,-20.58,48.53,69.98,82,93,4.43,overcast clouds
138,Andenes,NO,69.31,16.12,42.01,86,97,17.22,light rain
139,Yellowknife,CA,62.46,-114.35,1.4,84,75,5.82,light snow
140,Jumla,NP,29.27,82.18,47.03,45,0,3.83,clear sky
141,Kilcullen,IE,53.13,-6.74,37.99,93,20,10.29,few clouds
142,Broken Hill,AU,-31.95,141.43,78.8,39,40,12.75,scattered clouds
143,Kapaa,US,22.08,-159.32,80.6,83,75,10.29,light rain
144,Narsaq,GL,60.92,-46.05,35.6,80,100,9.17,moderate rain
145,Bredasdorp,ZA,-34.53,20.04,66.2,93,84,4.7,broken clouds
146,Matara,LK,5.95,80.54,79.45,83,5,4.72,clear sky
147,Dingras,PH,18.1,120.7,84.2,66,40,11.41,scattered clouds
148,Jamestown,US,42.1,-79.24,44.01,90,1,5.82,clear sky
149,Laguna,US,38.42,-121.42,71.6,35,1,3.36,clear sky
150,Khatanga,RU,71.97,102.5,-1.57,93,97,5.61,overcast clouds
151,Itarema,BR,-2.92,-39.92,80.53,79,60,12.33,broken clouds
152,Saint-Philippe,RE,-21.36,55.77,68.0,56,20,6.93,few clouds
153,Ballina,AU,-28.87,153.57,80.01,56,0,12.75,clear sky
154,Qostanay,KZ,53.17,63.58,28.4,100,90,8.95,mist
155,Camalu,MX,30.85,-116.07,57.99,57,81,1.01,broken clouds
156,Ouro Preto Do Oeste,BR,-10.75,-62.22,75.54,73,100,3.62,overcast clouds
157,Port Elizabeth,ZA,-33.92,25.57,66.2,88,75,4.7,broken clouds
158,Gergebil,RU,42.5,47.07,48.2,57,100,4.47,overcast clouds
159,Kenai,US,60.55,-151.26,23.0,37,1,5.82,clear sky
160,Belmonte,BR,-15.86,-38.88,68.0,94,90,4.7,mist
161,Ostersund,SE,63.18,14.64,39.2,69,100,13.87,overcast clouds
162,Nuevo Progreso,MX,23.17,-97.95,68.0,56,20,2.95,few clouds
163,Perisoru,RO,44.45,27.55,48.99,73,0,4.0,clear sky
164,Daru,PG,-9.08,143.21,82.29,81,100,11.14,moderate rain
165,Carutapera,BR,-1.2,-46.02,77.72,89,25,4.79,moderate rain
166,The Pas,CA,53.83,-101.25,30.2,100,90,2.24,fog
167,Cayambe,EC,0.05,-78.13,55.4,76,20,6.93,few clouds
168,Puerto Ayora,EC,-0.74,-90.35,68.0,95,91,4.0,light rain
169,Kimbe,PG,-5.55,150.14,81.7,84,100,7.16,moderate rain
170,Mitchell,US,43.71,-98.03,62.6,36,1,5.82,haze
171,Athabasca,CA,54.72,-113.29,46.4,70,100,2.24,overcast clouds
172,Chernyshevskiy,RU,63.01,112.47,15.89,98,95,4.05,overcast clouds
173,Humberto De Campos,BR,-2.6,-43.46,78.31,85,77,5.06,broken clouds
