City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Baykit,RU,2020-11-02 02:05:12,61.67,96.37,25.32,96,100,5.48
92,Khani,GE,2020-11-02 02:04:57,41.96,42.96,57.2,82,90,14.99
93,Hithadhoo,MV,2020-11-02 02:01:31,-0.6,73.08,83.16,73,98,8.32
94,Arraial Do Cabo,BR,2020-11-02 02:05:13,-22.97,-42.03,68.43,74,6,17.16
95,New Norfolk,AU,2020-11-02 02:05:13,-42.78,147.06,78.01,30,100,3.0
96,Aklavik,CA,2020-11-02 02:04:24,68.22,-135.01,12.2,92,89,2.24
97,Cherskiy,RU,2020-11-02 02:05:13,68.75,161.3,2.17,92,100,5.61
98,Beyneu,KZ,2020-11-02 02:05:14,45.32,55.2,47.88,50,7,14.29
99,Sibolga,ID,2020-11-02 02:05:14,1.74,98.78,80.01,80,100,2.77
100,Geraldton,AU,2020-11-02 02:05:14,-28.77,114.6,64.4,68,40,20.8
101,Benguela,AO,2020-11-02 02:05:14,-12.58,13.41,76.33,84,10,4.25
102,Kutum,SD,2020-11-02 02:05:15,14.2,24.67,69.85,34,0,16.82
103,Vanavara,RU,2020-11-02 02:05:15,60.34,102.28,20.01,96,100,9.93
104,Georgetown,MY,2020-11-02 02:04:19,5.41,100.34,80.6,88,20,3.36
105,San Carlos De Bariloche,AR,2020-11-02 02:05:15,-41.15,-71.31,64.4,42,0,11.41
106,El Penon,CO,2020-11-02 02:05:15,8.99,-73.95,75.06,94,100,2.26
107,Malakal,SS,2020-11-02 02:05:16,9.53,31.66,75.2,78,96,2.66
108,Faanui,PF,2020-11-02 02:05:16,-16.48,-151.75,80.42,79,0,18.92
109,Bremerton,US,2020-11-02 02:02:27,47.57,-122.63,53.01,81,1,1.57
110,Deputatskiy,RU,2020-11-02 02:05:16,69.3,139.9,-14.4,88,40,5.86
111,Ouango,CF,2020-11-02 02:05:17,4.31,22.56,69.04,94,88,1.52
112,Sokoto,NG,2020-11-02 02:05:17,13.06,5.24,75.25,20,6,9.89
113,Grand Gaube,MU,2020-11-02 02:05:17,-20.01,57.66,69.01,68,67,3.0
114,Camocim,BR,2020-11-02 02:05:17,-2.9,-40.84,78.01,85,55,9.42
115,Leningradskiy,RU,2020-11-02 02:05:18,69.38,178.42,17.01,83,83,4.43
116,Constitucion,CL,2020-11-02 02:05:18,-35.33,-72.42,51.78,90,33,7.0
117,Tautira,PF,2020-11-02 02:05:18,-17.73,-149.15,84.2,66,40,10.29
118,Tuktoyaktuk,CA,2020-11-02 02:04:44,69.45,-133.04,14.0,85,90,12.75
119,Tacuati,PY,2020-11-02 02:05:18,-23.45,-56.58,70.74,65,21,2.73
120,Sakakah,SA,2020-11-02 02:05:18,29.97,40.21,69.8,43,20,9.17
121,Goderich,CA,2020-11-02 02:05:18,43.75,-81.72,35.6,88,100,31.09
122,Yeppoon,AU,2020-11-02 02:05:19,-23.13,150.73,87.8,45,20,8.05
123,Sarangani,PH,2020-11-02 02:05:19,5.4,125.46,84.22,72,92,7.43
124,Marfino,RU,2020-11-02 02:05:19,55.7,37.38,41.0,100,90,6.71
125,Puerto Quijarro,BO,2020-11-02 02:05:20,-17.78,-57.77,75.58,57,70,3.42
126,Kodiak,US,2020-11-02 02:05:20,57.79,-152.41,30.2,39,90,14.99
127,Dzhubga,RU,2020-11-02 02:05:20,44.32,38.7,59.36,74,10,16.93
128,Maceio,BR,2020-11-02 02:05:20,-9.67,-35.74,75.2,88,0,6.93
129,Tilichiki,RU,2020-11-02 02:05:21,60.47,166.1,29.64,93,88,3.42
130,Waverley,ZA,2020-11-02 02:05:21,-25.7,28.26,59.0,73,100,9.82
131,Castro,BR,2020-11-02 02:03:58,-24.79,-50.01,48.94,97,24,7.38
